ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0070757	interleukin-35-mediated signaling pathway	2/18	11/18866	4.70475459986937e-05	0.0179251150255023	0.0124799806228114	STAT4/STAT1	2
GO:0006541	glutamine metabolic process	2/18	23/18866	0.00021495543814032	0.0409490109657309	0.028509879163874	ASNSD1/GLS	2
