score.quantile	tot_nb	intra_nb	intra_pcent	inter_nb	inter_pcent	up_nb	up_pcent	down_nb	down_pcent
1	155293	155293	100	0	0	77577	49.9552	77716	50.0448
2	116469	116469	100	0	0	58200	49.9704	58269	50.0296
3	77641	77641	100	0	0	38831	50.0135	38810	49.9865
4	38823	38823	100	0	0	19627	50.5551	19196	49.4449
