score.quantile	tot_nb	intra_nb	intra_pcent	inter_nb	inter_pcent	up_nb	up_pcent	down_nb	down_pcent
1	48422	48422	100	0	0	24180	49.936	24242	50.064
2	36312	36312	100	0	0	18152	49.989	18160	50.011
3	24209	24209	100	0	0	12092	49.9484	12117	50.0516
4	12106	12106	100	0	0	6100	50.3882	6006	49.6118
