score.quantile	tot_nb	intra_nb	intra_pcent	inter_nb	inter_pcent	up_nb	up_pcent	down_nb	down_pcent
1	6540371	6540371	100	0	0	3273337	50.0482	3267034	49.9518
2	4905278	4905278	100	0	0	2458034	50.11	2447244	49.89
3	3270011	3270011	100	0	0	1639788	50.1463	1630223	49.8537
4	1635075	1635075	100	0	0	821833	50.2627	813242	49.7373
