score.quantile	tot_nb	intra_nb	intra_pcent	inter_nb	inter_pcent	up_nb	up_pcent	down_nb	down_pcent
1	52990	52990	100	0	0	26454	49.9226	26536	50.0774
2	39741	39741	100	0	0	19768	49.7421	19973	50.2579
3	26494	26494	100	0	0	13313	50.2491	13181	49.7509
4	13248	13248	100	0	0	6588	49.7283	6660	50.2717
