1	elt1	47827	200	897	1775	2013	2838	11616
1	elt2	47827	0	0	0	0	0	0
2	elt1	35867	200	904	1802	2035	2867	11616
2	elt2	35867	0	0	0	0	0	0
3	elt1	23910	200	912	1825	2045	2891	11616
3	elt2	23910	0	0	0	0	0	0
4	elt1	11957	200	1013	1935	2117	2950	11073
4	elt2	11957	0	0	0	0	0	0
