score.quantile	tot_nb	intra_nb	intra_pcent	inter_nb	inter_pcent	up_nb	up_pcent	down_nb	down_pcent
1	47827	47827	100	0	0	23875	49.9195	23952	50.0805
2	35867	35867	100	0	0	17862	49.8007	18005	50.1993
3	23910	23910	100	0	0	11997	50.1757	11913	49.8243
4	11957	11957	100	0	0	5918	49.494	6039	50.506
