score.quantile	tot_nb	intra_nb	intra_pcent	inter_nb	inter_pcent	up_nb	up_pcent	down_nb	down_pcent
1	50782	50782	100	0	0	25258	49.7381	25524	50.2619
2	38084	38084	100	0	0	18971	49.8136	19113	50.1864
3	25389	25389	100	0	0	12679	49.9389	12710	50.0611
4	12696	12696	100	0	0	6398	50.3938	6298	49.6062
