score.quantile	tot_nb	intra_nb	intra_pcent	inter_nb	inter_pcent	up_nb	up_pcent	down_nb	down_pcent
1	54005	54005	100	0	0	26882	49.7769	27123	50.2231
2	40502	40502	100	0	0	20208	49.8938	20294	50.1062
3	26999	26999	100	0	0	13482	49.9352	13517	50.0648
4	13501	13501	100	0	0	6798	50.3518	6703	49.6482
