score.quantile	tot_nb	intra_nb	intra_pcent	inter_nb	inter_pcent	up_nb	up_pcent	down_nb	down_pcent
1	53534	53534	100	0	0	26768	50.0019	26766	49.9981
2	40148	40148	100	0	0	20160	50.2142	19988	49.7858
3	26765	26765	100	0	0	13367	49.9421	13398	50.0579
4	13384	13384	100	0	0	6836	51.0759	6548	48.9241
