1	elt1	51377	200.0	328.0	585.0	679.6	933.0	4212.0
1	elt2	51377	0	0	0	0	0	0
2	elt1	38528	200.0	330.0	596.0	688.8	954.0	4212.0
2	elt2	38528	0	0	0	0	0	0
3	elt1	25688	200	333	602	701	976	3911
3	elt2	25688	0	0	0	0	0	0
4	elt1	12843	200.0	345.0	626.0	727.5	1020.5	3911.0
4	elt2	12843	0	0	0	0	0	0
