score.quantile	tot_nb	intra_nb	intra_pcent	inter_nb	inter_pcent	up_nb	up_pcent	down_nb	down_pcent
1	51377	51377	100	0	0	25697	50.0165	25680	49.9835
2	38528	38528	100	0	0	19267	50.0078	19261	49.9922
3	25688	25688	100	0	0	12840	49.9844	12848	50.0156
4	12843	12843	100	0	0	6473	50.401	6370	49.599
