score.quantile	tot_nb	intra_nb	intra_pcent	inter_nb	inter_pcent	up_nb	up_pcent	down_nb	down_pcent
1	50706	50706	100	0	0	25178	49.6549	25528	50.3451
2	38029	38029	100	0	0	18928	49.7725	19101	50.2275
3	25353	25353	100	0	0	12654	49.9113	12699	50.0887
4	12676	12676	100	0	0	6417	50.6232	6259	49.3768
