score.quantile	tot_nb	intra_nb	intra_pcent	inter_nb	inter_pcent	up_nb	up_pcent	down_nb	down_pcent
1	106883	106883	100	0	0	53135	49.7132	53748	50.2868
2	80159	80159	100	0	0	39937	49.8222	40222	50.1778
3	53439	53439	100	0	0	26654	49.8774	26785	50.1226
4	26720	26720	100	0	0	13478	50.4416	13242	49.5584
