score.quantile	tot_nb	intra_nb	intra_pcent	inter_nb	inter_pcent	up_nb	up_pcent	down_nb	down_pcent
1	6086345	6086345	100	0	0	3042911	49.9957	3043434	50.0043
2	4564606	4564606	100	0	0	2285269	50.065	2279337	49.935
3	3043152	3043152	100	0	0	1524851	50.1076	1518301	49.8924
4	1521585	1521585	100	0	0	764618	50.2514	756967	49.7486
