score.quantile	tot_nb	intra_nb	intra_pcent	inter_nb	inter_pcent	up_nb	up_pcent	down_nb	down_pcent
1	157901	157901	100	0	0	78919	49.9801	78982	50.0199
2	118419	118419	100	0	0	59177	49.9726	59242	50.0274
3	78947	78947	100	0	0	39468	49.993	39479	50.007
4	39475	39475	100	0	0	19961	50.5662	19514	49.4338
