score.quantile	tot_nb	intra_nb	intra_pcent	inter_nb	inter_pcent	up_nb	up_pcent	down_nb	down_pcent
1	48883	48883	100	0	0	24440	49.9969	24443	50.0031
2	36659	36659	100	0	0	18434	50.2851	18225	49.7149
3	24440	24440	100	0	0	12211	49.9632	12229	50.0368
4	12221	12221	100	0	0	6220	50.896	6001	49.104
