score.quantile	tot_nb	intra_nb	intra_pcent	inter_nb	inter_pcent	up_nb	up_pcent	down_nb	down_pcent
1	54216	54216	100	0	0	26940	49.6901	27276	50.3099
2	40659	40659	100	0	0	20234	49.7651	20425	50.2349
3	27108	27108	100	0	0	13514	49.8524	13594	50.1476
4	13554	13554	100	0	0	6842	50.4796	6712	49.5204
