score.quantile	tot_nb	intra_nb	intra_pcent	inter_nb	inter_pcent	up_nb	up_pcent	down_nb	down_pcent
1	266122	266122	100	0	0	132741	49.8798	133381	50.1202
2	199587	199587	100	0	0	99626	49.9161	99961	50.0839
3	133060	133060	100	0	0	66469	49.9542	66591	50.0458
4	66529	66529	100	0	0	33618	50.5313	32911	49.4687
