ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0070757	interleukin-35-mediated signaling pathway	2/19	11/18866	5.2565826698286e-05	0.0210788965060127	0.0149397612721444	STAT4/STAT1	2
GO:0006541	glutamine metabolic process	2/19	23/18866	0.000240066166912475	0.0481332664659512	0.0341146658244043	ASNSD1/GLS	2
