ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006739	NADP metabolic process	2/19	35/18866	0.000560529373833074	0.158231802179456	0.13729209672877	NUDT17/FMO5	2
GO:0006383	transcription by RNA polymerase III	2/19	47/18866	0.00101106582862272	0.158231802179456	0.13729209672877	POLR3GL/POLR3C	2
