score.quantile	tot_nb	intra_nb	intra_pcent	inter_nb	inter_pcent	up_nb	up_pcent	down_nb	down_pcent
1	145132	145132	100	0	0	72495	49.9511	72637	50.0489
2	108844	108844	100	0	0	54443	50.0193	54401	49.9807
3	72565	72565	100	0	0	36279	49.9952	36286	50.0048
4	36283	36283	100	0	0	18318	50.4865	17965	49.5135
