score.quantile	tot_nb	intra_nb	intra_pcent	inter_nb	inter_pcent	up_nb	up_pcent	down_nb	down_pcent
1	246620	246620	100	0	0	122931	49.8463	123689	50.1537
2	184954	184954	100	0	0	92346	49.9292	92608	50.0708
3	123303	123303	100	0	0	61591	49.9509	61712	50.0491
4	61654	61654	100	0	0	31155	50.532	30499	49.468
