score.quantile	tot_nb	intra_nb	intra_pcent	inter_nb	inter_pcent	up_nb	up_pcent	down_nb	down_pcent
1	101488	101488	100	0	0	50436	49.6965	51052	50.3035
2	76107	76107	100	0	0	37904	49.8036	38203	50.1964
3	50744	50744	100	0	0	25333	49.9231	25411	50.0769
4	25372	25372	100	0	0	12826	50.5518	12546	49.4482
